TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ
0.000000e+00	9.090910e+00	4.545455e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-04	9.091478e+00	4.546023e+00	7.534475e-08	-2.429044e-10	-1.445506e-14	2.499684e-05	7.084618e+01	1.571345e-01	4.211115e-09	-2.025548e-08	1.268537e-08	-1.633373e-01
1.000000e-03	9.092046e+00	4.546591e+00	-9.994903e-08	-1.186710e-09	-5.819406e-14	4.998410e-05	1.409267e+02	-1.958243e-01	2.214473e-09	-2.882993e-08	2.065956e-08	2.138868e-01
1.500000e-03	9.092615e+00	4.547160e+00	5.740659e-08	-3.048058e-09	-1.161826e-13	7.496658e-05	2.124893e+02	1.337922e-01	2.391329e-09	-1.890886e-08	8.122867e-09	-1.243113e-01
2.000000e-03	9.093183e+00	4.547728e+00	2.345870e-08	-5.600657e-09	-2.705788e-13	9.993993e-05	2.835087e+02	7.333866e-02	2.941509e-09	-2.995617e-09	2.812603e-09	-4.747826e-02
2.750000e-03	9.094035e+00	4.548580e+00	-6.403913e-08	-1.018700e-08	-7.168380e-13	1.373855e-04	3.902952e+02	-7.489503e-02	-1.127130e-09	-1.060655e-08	7.643559e-09	1.356257e-01
3.500000e-03	9.094887e+00	4.549432e+00	6.166376e-08	-1.561373e-08	-1.382180e-12	1.748158e-04	4.983540e+02	2.136014e-01	1.092145e-09	-5.417220e-09	7.233375e-09	-1.333458e-01
4.250000e-03	9.095740e+00	4.550285e+00	-1.817814e-08	-2.171210e-08	-2.309035e-12	2.122274e-04	6.060750e+02	8.878383e-02	6.194714e-10	-1.236109e-09	6.747315e-10	4.215838e-02
5.000000e-03	9.096592e+00	4.551137e+00	-3.716551e-08	-2.821600e-08	-3.534501e-12	2.496222e-04	7.145139e+02	1.054897e-01	1.104270e-09	1.753522e-09	2.517478e-09	7.713779e-02
5.562500e-03	9.097231e+00	4.551776e+00	8.162634e-08	-3.434843e-08	-4.802771e-12	2.776583e-04	7.966546e+02	3.885036e-01	3.265810e-06	-7.540890e-06	3.167371e-07	-1.761902e-01
6.125000e-03	9.097870e+00	4.552415e+00	-7.126595e-08	-4.315885e-08	-6.629161e-12	3.056824e-04	8.780012e+02	1.192598e-01	3.224752e-06	-7.443549e-06	3.113346e-07	1.577622e-01
6.687500e-03	9.098509e+00	4.553054e+00	1.327072e-08	-5.545537e-08	-9.275107e-12	3.336988e-04	9.605624e+02	3.534662e-01	3.187349e-06	-7.348372e-06	2.990902e-07	-3.413296e-02
7.250000e-03	9.099149e+00	4.553694e+00	5.333272e-08	-7.099005e-08	-1.288568e-11	3.617052e-04	1.043187e+03	4.843817e-01	3.144770e-06	-7.259910e-06	3.007137e-07	-1.122506e-01
8.093750e-03	9.100107e+00	4.554652e+00	-6.775128e-08	-1.623823e-07	-3.202935e-11	4.036950e-04	1.166947e+03	3.322965e-01	-3.569863e-07	-8.964150e-07	9.620046e-08	1.474592e-01
8.937500e-03	9.101066e+00	4.555611e+00	3.693434e-08	-4.124491e-07	-9.132885e-11	4.456651e-04	1.292206e+03	6.571765e-01	-4.109632e-07	-1.019612e-06	9.324695e-08	-8.438714e-02
9.781250e-03	9.102025e+00	4.556570e+00	1.827373e-08	-8.988545e-07	-2.190585e-10	4.876130e-04	1.417572e+03	7.260638e-01	-4.635085e-07	-1.150880e-06	9.497357e-08	-3.500119e-02
1.062500e-02	9.102984e+00	4.557529e+00	-6.092505e-08	-1.646460e-06	-4.368206e-10	5.295388e-04	1.543347e+03	6.953354e-01	-5.286418e-07	-1.318446e-06	1.053899e-07	1.309962e-01
1.125781e-02	9.103703e+00	4.558248e+00	7.012465e-08	-2.463624e-06	-6.941967e-10	5.609710e-04	1.638836e+03	1.070889e+00	4.003145e-05	-1.260411e-04	3.954552e-06	-1.571247e-01
1.189063e-02	9.104422e+00	4.558967e+00	-3.242902e-08	-3.615849e-06	-1.076211e-09	5.923896e-04	1.733730e+03	9.557269e-01	3.987545e-05	-1.259872e-04	3.949233e-06	7.850833e-02
1.252344e-02	9.105141e+00	4.559686e+00	-2.673285e-08	-5.055202e-06	-1.585044e-09	6.237973e-04	1.829453e+03	1.095134e+00	-5.662583e-08	-1.514524e-07	-3.786989e-09	5.249434e-02
1.315625e-02	9.105860e+00	4.560405e+00	6.772454e-08	-6.740472e-06	-2.220380e-09	6.551942e-04	1.925852e+03	1.406692e+00	3.962427e-05	-1.258437e-04	3.965270e-06	-1.484612e-01
1.363086e-02	9.106400e+00	4.560945e+00	-6.931559e-08	-8.112602e-06	-2.768890e-09	6.787323e-04	1.997553e+03	1.207951e+00	9.385036e-10	-1.418786e-09	1.400067e-08	1.609471e-01
1.410547e-02	9.106939e+00	4.561484e+00	2.440433e-08	-9.554456e-06	-3.374889e-09	7.022658e-04	2.070431e+03	1.521878e+00	-9.427598e-10	5.424564e-10	5.626121e-09	-6.609041e-02
1.458008e-02	9.107478e+00	4.562023e+00	3.669264e-08	-1.099650e-05	-4.015187e-09	7.257917e-04	2.143114e+03	1.630159e+00	-7.852685e-10	-2.608878e-09	6.569802e-09	-7.283959e-02
1.505469e-02	9.108018e+00	4.562563e+00	-7.292716e-08	-1.243922e-05	-4.689873e-09	7.493097e-04	2.215561e+03	1.511852e+00	2.075441e-09	-6.721658e-09	1.468335e-08	1.631939e-01
1.576660e-02	9.108827e+00	4.563372e+00	5.623054e-08	-1.460412e-05	-5.767306e-09	7.845766e-04	2.325800e+03	1.957865e+00	-3.110043e-10	-9.189817e-09	6.574472e-09	-1.327518e-01
