TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ
0.000000e+00	0.000000e+00	4.545455e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-04	3.409093e-04	4.545796e+00	7.534475e-08	-2.429044e-10	-1.445506e-14	2.499684e-05	-7.055871e+01	1.303412e-01	-3.581083e-09	-1.179487e-09	1.267809e-08	-1.633368e-01
1.000000e-03	6.818185e-04	4.546137e+00	-9.994903e-08	-1.186710e-09	-5.819406e-14	4.998410e-05	-1.413031e+02	-1.806277e-01	-4.352390e-09	-7.074890e-09	2.065023e-08	2.138874e-01
1.500000e-03	1.022728e-03	4.546478e+00	5.740659e-08	-3.048058e-09	-1.161826e-13	7.496658e-05	-2.122705e+02	8.501651e-02	-2.032709e-09	6.526071e-09	8.110375e-09	-1.243108e-01
2.000000e-03	1.363637e-03	4.546819e+00	2.345870e-08	-5.600657e-09	-2.705788e-13	9.993993e-05	-2.834251e+02	1.019965e-02	-5.066286e-10	7.854726e-09	2.801700e-09	-4.747784e-02
2.750000e-03	1.875001e-03	4.547330e+00	-6.403913e-08	-1.018700e-08	-7.168380e-13	1.373855e-04	-3.905339e+02	-1.637954e-01	-1.125764e-09	-1.113280e-08	7.644596e-09	1.356258e-01
3.500000e-03	2.386365e-03	4.547841e+00	6.166376e-08	-1.561373e-08	-1.382180e-12	1.748158e-04	-4.981193e+02	2.109843e-02	5.045383e-10	-1.037729e-08	7.235681e-09	-1.333458e-01
4.250000e-03	2.897729e-03	4.548353e+00	-1.817814e-08	-2.171210e-08	-2.309035e-12	2.122274e-04	-6.061492e+02	-1.630109e-01	-9.723914e-11	-5.569526e-09	6.773235e-10	4.215838e-02
5.000000e-03	3.409092e-03	4.548864e+00	-3.716551e-08	-2.821600e-08	-3.534501e-12	2.496222e-04	-7.146497e+02	-2.412249e-01	-2.247515e-10	8.300037e-10	2.518969e-09	7.713781e-02
5.562500e-03	3.792615e-03	4.549248e+00	8.162634e-08	-3.434843e-08	-4.802771e-12	2.776583e-04	-7.963445e+02	-7.840771e-02	-3.265955e-06	7.503400e-06	2.999400e-07	-1.761934e-01
6.125000e-03	4.176138e-03	4.549631e+00	-7.126595e-08	-4.315885e-08	-6.629161e-12	3.056824e-04	-8.782789e+02	-3.969493e-01	-3.225990e-06	7.419160e-06	2.930719e-07	1.577591e-01
6.687500e-03	4.559661e-03	4.550015e+00	1.327072e-08	-5.545537e-08	-9.275107e-12	3.336988e-04	-9.605024e+02	-2.933422e-01	-3.187016e-06	7.341191e-06	2.793927e-07	-3.413623e-02
7.250000e-03	4.943184e-03	4.550398e+00	5.333272e-08	-7.099005e-08	-1.288568e-11	3.617052e-04	-1.042989e+03	-2.868506e-01	-3.145604e-06	7.235349e-06	2.796482e-07	-1.122538e-01
8.093750e-03	5.518468e-03	4.550973e+00	-6.775128e-08	-1.623823e-07	-3.202935e-11	4.036950e-04	-1.167206e+03	-5.918478e-01	3.585093e-07	7.305765e-07	9.362725e-08	1.474888e-01
8.937500e-03	6.093753e-03	4.551549e+00	3.693434e-08	-4.124491e-07	-9.132885e-11	4.456651e-04	-1.292057e+03	-5.086528e-01	4.128532e-07	8.562254e-07	8.990379e-08	-8.435572e-02
9.781250e-03	6.669037e-03	4.552124e+00	1.827373e-08	-8.988545e-07	-2.190585e-10	4.876130e-04	-1.417511e+03	-6.645364e-01	4.667436e-07	9.733078e-07	9.083773e-08	-3.496762e-02
1.062500e-02	7.244322e-03	4.552699e+00	-6.092505e-08	-1.646460e-06	-4.368206e-10	5.295388e-04	-1.543578e+03	-9.258925e-01	5.322588e-07	1.103929e-06	1.003180e-07	1.310325e-01
1.125781e-02	7.675785e-03	4.553131e+00	7.012465e-08	-2.463624e-06	-6.941967e-10	5.609710e-04	-1.638559e+03	-7.943010e-01	-4.003020e-05	1.255088e-04	3.382364e-06	-1.571599e-01
1.189063e-02	8.107248e-03	4.553562e+00	-3.242902e-08	-3.615849e-06	-1.076211e-09	5.923896e-04	-1.733868e+03	-1.093928e+00	-3.987690e-05	1.254675e-04	3.345713e-06	7.847374e-02
1.252344e-02	8.538711e-03	4.553994e+00	-2.673285e-08	-5.055202e-06	-1.585044e-09	6.237973e-04	-1.829545e+03	-1.187467e+00	5.836116e-08	1.437702e-07	-4.525537e-09	5.249456e-02
1.315625e-02	8.970175e-03	4.554425e+00	6.772454e-08	-6.740472e-06	-2.220380e-09	6.551942e-04	-1.925591e+03	-1.145389e+00	-3.962732e-05	1.253012e-04	3.299038e-06	-1.484965e-01
1.363086e-02	9.293772e-03	4.554749e+00	-6.931559e-08	-8.112602e-06	-2.768890e-09	6.787323e-04	-1.997836e+03	-1.491271e+00	2.847519e-10	4.550749e-10	1.399886e-08	1.609493e-01
1.410547e-02	9.617370e-03	4.555072e+00	2.440433e-08	-9.554456e-06	-3.374889e-09	7.022658e-04	-2.070315e+03	-1.405467e+00	-9.209112e-10	-2.938701e-09	5.642341e-09	-6.608983e-02
1.458008e-02	9.940967e-03	4.555396e+00	3.669264e-08	-1.099650e-05	-4.015187e-09	7.257917e-04	-2.142986e+03	-1.502035e+00	8.905051e-10	-5.304130e-09	6.578699e-09	-7.283916e-02
1.505469e-02	1.026456e-02	4.555720e+00	-7.292716e-08	-1.243922e-05	-4.689873e-09	7.493097e-04	-2.215848e+03	-1.799075e+00	-2.082944e-09	-1.640365e-08	1.470748e-08	1.631966e-01
1.576660e-02	1.074996e-02	4.556205e+00	5.623054e-08	-1.460412e-05	-5.767306e-09	7.845766e-04	-2.325566e+03	-1.724170e+00	-6.967765e-10	-4.127471e-09	6.558704e-09	-1.327533e-01
1.647852e-02	1.123536e-02	4.556690e+00	-2.117059e-09	-1.676984e-05	-6.921965e-09	8.198266e-04	-2.435727e+03	-2.016414e+00	-1.076846e-10	-5.500715e-10	2.664807e-11	1.379763e-02
1.719043e-02	1.172075e-02	4.557176e+00	-5.308669e-08	-1.893758e-05	-8.154974e-09	8.550609e-04	-2.546360e+03	-2.279514e+00	-1.079991e-09	-1.067527e-09	5.320414e-09	1.143575e-01
1.790234e-02	1.220615e-02	4.557661e+00	7.254089e-08	-2.110609e-05	-9.466442e-09	8.902815e-04	-2.657491e+03	-2.241782e+00	-2.479779e-09	-1.211601e-08	1.061592e-08	-1.662651e-01
1.843628e-02	1.257020e-02	4.558025e+00	-4.190252e-08	-2.273352e-05	-1.050063e-08	9.166850e-04	-2.741123e+03	-2.610577e+00	-1.446628e-07	3.395622e-07	1.643050e-08	1.061373e-01
1.897021e-02	1.293424e-02	4.558389e+00	-1.664826e-08	-2.436234e-05	-1.157976e-08	9.430810e-04	-2.825046e+03	-2.697104e+00	-1.431434e-07	3.456713e-07	1.258951e-08	2.476330e-02
1.950415e-02	1.329829e-02	4.558753e+00	6.378206e-08	-2.599201e-05	-1.270324e-08	9.694688e-04	-2.909247e+03	-2.721515e+00	-1.410168e-07	3.168914e-07	1.979699e-08	-1.391510e-01
2.003809e-02	1.366234e-02	4.559117e+00	-6.799795e-08	-2.762323e-05	-1.387028e-08	9.958458e-04	-2.993689e+03	-3.126757e+00	-1.367005e-07	3.143724e-07	2.130710e-08	1.607514e-01
2.083899e-02	1.420841e-02	4.559663e+00	3.283908e-08	-3.007480e-05	-1.570689e-08	1.035398e-03	-3.120914e+03	-3.178826e+00	2.301531e-08	4.729196e-08	3.717339e-09	-8.583180e-02
