TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ
0.000000e+00	4.545455e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-04	4.545796e+00	3.409093e-04	-7.534475e-08	-1.449584e-14	-2.429034e-10	-2.499684e-05	1.303412e-01	-7.055871e+01	3.582427e-09	1.267784e-08	-1.180146e-09	1.633368e-01
1.000000e-03	4.546137e+00	6.818185e-04	9.994903e-08	-5.827061e-14	-1.186706e-09	-4.998410e-05	-1.806277e-01	-1.413031e+02	4.236289e-09	2.065013e-08	-6.775355e-09	-2.138874e-01
1.500000e-03	4.546478e+00	1.022728e-03	-5.740659e-08	-1.162148e-13	-3.048053e-09	-7.496658e-05	8.501651e-02	-2.122705e+02	2.030500e-09	8.109945e-09	6.022488e-09	1.243108e-01
2.000000e-03	4.546819e+00	1.363637e-03	-2.345870e-08	-2.705400e-13	-5.600651e-09	-9.993993e-05	1.019965e-02	-2.834251e+02	2.300078e-09	2.804020e-09	3.776630e-09	4.747786e-02
2.750000e-03	4.547330e+00	1.875001e-03	6.403913e-08	-7.166007e-13	-1.018699e-08	-1.373855e-04	-1.637954e-01	-3.905339e+02	-4.478754e-10	7.641079e-09	-7.055114e-09	-1.356258e-01
3.500000e-03	4.547841e+00	2.386365e-03	-6.166376e-08	-1.381845e-12	-1.561372e-08	-1.748158e-04	2.109843e-02	-4.981193e+02	-2.768175e-10	7.237239e-09	-1.036008e-08	1.333458e-01
4.250000e-03	4.548353e+00	2.897729e-03	1.817814e-08	-2.309076e-12	-2.171211e-08	-2.122274e-04	-1.630109e-01	-6.061492e+02	2.205353e-10	6.779106e-10	-5.848885e-09	-4.215838e-02
5.000000e-03	4.548864e+00	3.409092e-03	3.716551e-08	-3.534402e-12	-2.821600e-08	-2.496222e-04	-2.412249e-01	-7.146497e+02	2.163040e-10	2.518186e-09	8.139069e-10	-7.713781e-02
5.562500e-03	4.549248e+00	3.792615e-03	-8.162634e-08	-4.802560e-12	-3.434844e-08	-2.776583e-04	-7.840771e-02	-7.963445e+02	3.262615e-06	2.999385e-07	7.503449e-06	1.761934e-01
6.125000e-03	4.549631e+00	4.176138e-03	7.126594e-08	-6.628941e-12	-4.315886e-08	-3.056824e-04	-3.969493e-01	-8.782789e+02	3.226221e-06	2.930730e-07	7.419110e-06	-1.577591e-01
6.687500e-03	4.550015e+00	4.559661e-03	-1.327073e-08	-9.275071e-12	-5.545539e-08	-3.336988e-04	-2.933422e-01	-9.605024e+02	3.188560e-06	2.793885e-07	7.345252e-06	3.413625e-02
7.250000e-03	4.550398e+00	4.943184e-03	-5.333273e-08	-1.288547e-11	-7.099006e-08	-3.617052e-04	-2.868506e-01	-1.042989e+03	3.144046e-06	2.796527e-07	7.231290e-06	1.122538e-01
8.093750e-03	4.550973e+00	5.518468e-03	6.775127e-08	-3.202928e-11	-1.623822e-07	-4.036950e-04	-5.918478e-01	-1.167206e+03	-3.583701e-07	9.363016e-08	7.303531e-07	-1.474888e-01
8.937500e-03	4.551549e+00	6.093753e-03	-3.693436e-08	-9.132868e-11	-4.124486e-07	-4.456651e-04	-5.086528e-01	-1.292057e+03	-4.113129e-07	8.991188e-08	8.527812e-07	8.435574e-02
9.781250e-03	4.552124e+00	6.669037e-03	-1.827374e-08	-2.190582e-10	-8.988531e-07	-4.876130e-04	-6.645364e-01	-1.417511e+03	-4.685187e-07	9.084326e-08	9.693188e-07	3.496760e-02
1.062500e-02	4.552699e+00	7.244322e-03	6.092503e-08	-4.368199e-10	-1.646458e-06	-5.295388e-04	-9.258925e-01	-1.543578e+03	-5.323988e-07	1.003152e-07	1.103760e-06	-1.310325e-01
1.125781e-02	4.553131e+00	7.675785e-03	-7.012468e-08	-6.941956e-10	-2.463620e-06	-5.609710e-04	-7.943010e-01	-1.638559e+03	4.003339e-05	3.382369e-06	1.255092e-04	1.571599e-01
1.189063e-02	4.553562e+00	8.107248e-03	3.242899e-08	-1.076210e-09	-3.615844e-06	-5.923896e-04	-1.093928e+00	-1.733868e+03	3.987520e-05	3.345716e-06	1.254634e-04	-7.847376e-02
1.252344e-02	4.553994e+00	8.538711e-03	2.673281e-08	-1.585041e-09	-5.055196e-06	-6.237973e-04	-1.187467e+00	-1.829545e+03	-5.999924e-08	-4.532031e-09	1.470953e-07	-5.249458e-02
1.315625e-02	4.554425e+00	8.970175e-03	-6.772459e-08	-2.220378e-09	-6.740465e-06	-6.551942e-04	-1.145389e+00	-1.925591e+03	3.962403e-05	3.299013e-06	1.253087e-04	1.484964e-01
1.363086e-02	4.554749e+00	9.293772e-03	6.931553e-08	-2.768887e-09	-8.112594e-06	-6.787323e-04	-1.491271e+00	-1.997836e+03	1.458208e-09	1.400957e-08	-3.521774e-09	-1.609493e-01
1.410547e-02	4.555072e+00	9.617370e-03	-2.440439e-08	-3.374886e-09	-9.554447e-06	-7.022658e-04	-1.405467e+00	-2.070315e+03	9.324530e-10	5.644387e-09	-2.806590e-09	6.608983e-02
1.458008e-02	4.555396e+00	9.940967e-03	-3.669271e-08	-4.015184e-09	-1.099649e-05	-7.257917e-04	-1.502035e+00	-2.142986e+03	-9.884084e-10	6.581191e-09	-5.534189e-09	7.283916e-02
1.505469e-02	4.555720e+00	1.026456e-02	7.292707e-08	-4.689869e-09	-1.243921e-05	-7.493097e-04	-1.799075e+00	-2.215848e+03	5.740744e-10	1.467369e-08	-4.800057e-09	-1.631967e-01
1.576660e-02	4.556205e+00	1.074996e-02	-5.623064e-08	-5.767301e-09	-1.460411e-05	-7.845766e-04	-1.724170e+00	-2.325566e+03	7.667634e-10	6.579011e-09	-1.171659e-08	1.327533e-01
1.647852e-02	4.556690e+00	1.123536e-02	2.116955e-09	-6.921960e-09	-1.676983e-05	-8.198266e-04	-2.016414e+00	-2.435727e+03	2.222626e-10	2.720467e-11	-7.576617e-10	-1.379763e-02
1.719043e-02	4.557176e+00	1.172075e-02	5.308658e-08	-8.154968e-09	-1.893757e-05	-8.550609e-04	-2.279514e+00	-2.546360e+03	-2.019144e-09	5.325793e-09	-1.812512e-09	-1.143576e-01
1.790234e-02	4.557661e+00	1.220615e-02	-7.254101e-08	-9.466435e-09	-2.110607e-05	-8.902815e-04	-2.241782e+00	-2.657491e+03	-7.590956e-10	1.058746e-08	-4.662700e-09	1.662650e-01
1.843628e-02	4.558025e+00	1.257020e-02	4.190240e-08	-1.050062e-08	-2.273350e-05	-9.166850e-04	-2.610577e+00	-2.741123e+03	1.464676e-07	1.645350e-08	3.355808e-07	-1.061373e-01
1.897021e-02	4.558389e+00	1.293424e-02	1.664815e-08	-1.157975e-08	-2.436232e-05	-9.430810e-04	-2.697104e+00	-2.825046e+03	1.447359e-07	1.264149e-08	3.344298e-07	-2.476328e-02
1.950415e-02	4.558753e+00	1.329829e-02	-6.378216e-08	-1.270323e-08	-2.599199e-05	-9.694688e-04	-2.721515e+00	-2.909247e+03	1.425474e-07	1.977454e-08	3.205744e-07	1.391510e-01
2.003809e-02	4.559117e+00	1.366234e-02	6.799786e-08	-1.387027e-08	-2.762321e-05	-9.958458e-04	-3.126757e+00	-2.993689e+03	1.348950e-07	2.132215e-08	3.105638e-07	-1.607514e-01
2.083899e-02	4.559663e+00	1.420841e-02	-3.283914e-08	-1.570688e-08	-3.007478e-05	-1.035398e-03	-3.178826e+00	-3.120914e+03	-2.308273e-08	3.709384e-09	4.674020e-08	8.583180e-02
2.163989e-02	4.560209e+00	1.475448e-02	-2.396243e-08	-1.764562e-08	-3.253365e-05	-1.074930e-03	-3.473779e+00	-3.248742e+03	-2.507822e-08	2.189259e-09	5.784015e-08	4.631318e-02
2.244080e-02	4.560756e+00	1.530055e-02	6.440537e-08	-1.968987e-08	-3.500464e-05	-1.114440e-03	-3.904746e+00	-3.377185e+03	-2.824495e-08	9.590951e-09	5.009344e-08	-1.475815e-01
2.324170e-02	4.561302e+00	1.584662e-02	-6.164912e-08	-2.184187e-08	-3.748730e-05	-1.153933e-03	-3.947881e+00	-3.506294e+03	-3.272619e-08	9.287132e-09	6.109409e-08	1.504512e-01
2.384238e-02	4.561711e+00	1.625617e-02	1.012254e-08	-2.353067e-08	-3.936649e-05	-1.183539e-03	-4.320921e+00	-3.603516e+03	2.009823e-05	1.598951e-06	4.811962e-05	-3.723791e-02
2.444305e-02	4.562121e+00	1.666573e-02	4.790078e-08	-2.529462e-08	-4.127498e-05	-1.213133e-03	-4.599487e+00	-3.701105e+03	1.995225e-05	1.585524e-06	4.779001e-05	-1.007812e-01
2.504373e-02	4.562530e+00	1.707528e-02	-7.360378e-08	-2.714102e-08	-4.322104e-05	-1.242718e-03	-4.612070e+00	-3.799082e+03	1.977651e-05	1.573088e-06	4.738166e-05	1.716353e-01
2.564441e-02	4.562940e+00	1.748483e-02	4.997928e-08	-2.906883e-08	-4.520515e-05	-1.272290e-03	-5.094699e+00	-3.897381e+03	1.961464e-05	1.549360e-06	4.704103e-05	-1.280137e-01
2.609492e-02	4.563247e+00	1.779200e-02	2.031357e-08	-3.056707e-08	-4.671146e-05	-1.294462e-03	-5.198926e+00	-3.971370e+03	-4.847962e-09	1.106629e-08	1.730865e-08	-2.970541e-02
